,generations,population,(p,d,q),(P,D,Q),AIC
0,10,10,(0, 0, 3),(2, 0, 1, 12),-142.96665406702465
1,10,10,(0, 0, 3),(2, 0, 1, 12),-142.96665406702465
2,10,10,(0, 0, 1),(2, 0, 3, 12),-141.43564968349503
3,10,10,(0, 0, 1),(2, 0, 3, 12),-141.43564968349503
4,10,10,(0, 1, 3),(2, 0, 1, 12),-138.0165145912765

0,10,10,(4, 0, 7),(0, 1, 1, 12),-151.0308005666589
1,10,10,(4, 0, 8),(0, 1, 1, 12),-150.64839358490553
2,10,10,(8, 0, 8),(0, 1, 1, 12),-149.08279793037184
3,10,10,(7, 1, 8),(0, 1, 1, 12),-144.94748540463215
4,10,10,(3, 1, 8),(0, 1, 1, 12),-144.35002220591076

5,10,50,(11, 0, 11),(0, 0, 0, 12),-153.00368217496379
6,10,50,(11, 0, 11),(0, 0, 0, 12),-153.00368217496379
7,10,50,(9, 0, 6),(0, 1, 1, 12),-145.7100459947404
8,10,50,(5, 0, 4),(1, 1, 2, 12),-145.0233073481721
9,10,50,(4, 0, 0),(1, 1, 1, 12),-144.47668743366347

5,10,50,(1, 0, 0),(1, 1, 2, 12),-155.14297866440066
6,10,50,(1, 0, 0),(0, 1, 1, 12),-152.84207138796725
7,10,50,(1, 0, 1),(0, 1, 1, 12),-152.28013672945073
8,10,50,(1, 0, 1),(0, 1, 1, 12),-152.28013672945073
9,10,50,(1, 0, 1),(0, 1, 1, 12),-152.28013672945073

10,10,100,(0, 0, 1),(1, 0, 1, 12),-156.64611196801349
11,10,100,(1, 0, 1),(1, 0, 1, 12),-156.0596223111495
12,10,100,(1, 0, 1),(2, 0, 2, 12),-156.01802552083666
13,10,100,(1, 0, 1),(2, 0, 2, 12),-156.01802552083666
14,10,100,(1, 0, 0),(1, 1, 2, 12),-155.14297866440066

10,10,100,(1, 0, 0),(1, 0, 1, 12),-159.49666862558888
11,10,100,(2, 0, 0),(1, 0, 1, 12),-156.1018972778936
12,10,100,(7, 0, 0),(1, 1, 2, 12),-153.42803079106778
13,10,100,(3, 0, 5),(2, 0, 2, 12),-150.4637068465255
14,10,100,(8, 0, 1),(1, 1, 2, 12),-149.04363898531608

15,10,200,(2, 0, 2),(1, 0, 1, 12),-152.01037753172966
16,10,200,(7, 0, 0),(2, 0, 2, 12),-151.52876393916125
