,generations,population,"(p,d,q)","(P,D,Q)",AIC,Time
0,10,10,"(0, 1, 8)","(2, 0, 2, 12)",-149.5245524470083,1192.0586876869202
1,10,10,"(0, 1, 5)","(2, 0, 2, 12)",-149.29325550157145,1192.0586876869202
2,10,10,"(0, 1, 5)","(2, 0, 2, 12)",-149.29325550157145,1192.0586876869202
3,10,10,"(0, 1, 5)","(1, 1, 2, 12)",-144.723736021856,1192.0586876869202
4,10,10,"(0, 1, 5)","(3, 0, 2, 12)",-138.86738387593323,1192.0586876869202
5,10,50,"(1, 0, 2)","(2, 0, 2, 12)",-154.04192562856764,9410.12153673172
6,10,50,"(1, 1, 1)","(2, 0, 2, 12)",-152.55419447915259,9410.12153673172
7,10,50,"(1, 1, 1)","(2, 0, 2, 12)",-152.55419447915259,9410.12153673172
8,10,50,"(1, 0, 7)","(2, 0, 2, 12)",-152.3993213585867,9410.12153673172
9,10,50,"(1, 0, 7)","(2, 0, 2, 12)",-152.3993213585867,9410.12153673172
10,10,100,"(0, 0, 3)","(2, 0, 2, 12)",-156.90810414867758,22615.712672948837
11,10,100,"(0, 0, 2)","(2, 0, 2, 12)",-156.10285321532496,22615.712672948837
12,10,100,"(12, 1, 2)","(0, 0, 1, 12)",-155.87449262923104,22615.712672948837
13,10,100,"(12, 1, 2)","(0, 0, 1, 12)",-155.87449262923104,22615.712672948837
14,10,100,"(0, 0, 4)","(2, 0, 2, 12)",-155.50692235661887,22615.712672948837
15,10,200,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278,39723.027159929276
16,10,200,"(0, 0, 7)","(2, 0, 2, 12)",-153.62286755594627,39723.027159929276
17,10,200,"(8, 0, 5)","(1, 0, 1, 12)",-152.55371283462148,39723.027159929276
18,10,200,"(0, 0, 1)","(0, 1, 1, 12)",-152.4374870348741,39723.027159929276
19,10,200,"(0, 0, 5)","(2, 0, 2, 12)",-151.4702243028855,39723.027159929276
20,10,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,63318.76463460922
21,10,300,"(0, 0, 3)","(2, 0, 2, 12)",-156.90810414867758,63318.76463460922
22,10,300,"(2, 0, 0)","(2, 0, 2, 12)",-156.2980143299007,63318.76463460922
23,10,300,"(2, 0, 0)","(2, 0, 2, 12)",-156.2980143299007,63318.76463460922
24,10,300,"(1, 0, 1)","(2, 0, 2, 12)",-156.01802552083666,63318.76463460922
25,10,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,108862.66336917877
26,10,400,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278,108862.66336917877
27,10,400,"(0, 0, 3)","(2, 0, 2, 12)",-156.90810414867758,108862.66336917877
28,10,400,"(1, 0, 1)","(2, 0, 2, 12)",-156.01802552083666,108862.66336917877
29,10,400,"(4, 0, 1)","(2, 0, 2, 12)",-153.84085998314953,108862.66336917877
30,10,500,"(11, 1, 1)","(0, 0, 1, 12)",-158.3263057345294,123527.19400048256
31,10,500,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278,123527.19400048256
32,10,500,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278,123527.19400048256
33,10,500,"(0, 0, 3)","(2, 0, 2, 12)",-156.90810414867758,123527.19400048256
34,10,500,"(1, 0, 1)","(2, 0, 2, 12)",-156.01802552083666,123527.19400048256
-----------------------------------------------------------------------------------------
35,20,10,"(10, 1, 12)","(0, 0, 0, 12)",-155.5310785770224,4298.267432928085
36,20,10,"(10, 0, 12)","(0, 0, 0, 12)",-151.106068846969,4298.267432928085
37,20,10,"(10, 0, 12)","(0, 0, 0, 12)",-151.106068846969,4298.267432928085
38,20,10,"(10, 0, 12)","(0, 0, 0, 12)",-151.106068846969,4298.267432928085
39,20,10,"(10, 0, 11)","(0, 0, 0, 12)",-147.07533509926162,4298.267432928085
40,20,50,"(0, 0, 3)","(2, 0, 2, 12)",-156.90810414867758,26526.81853914261
41,20,50,"(0, 0, 3)","(2, 0, 2, 12)",-156.90810414867758,26526.81853914261
