,lower,predict,upper
2015-01-01,75.7389,77.7065,79.674
2015-02-01,78.1143,80.1114,82.1085
2015-03-01,83.2984,85.3049,87.3114
2015-04-01,87.0738,89.0803,91.0869
2015-05-01,87.8111,89.8186,91.8262
2015-06-01,87.3664,89.3739,91.3813
2015-07-01,85.9279,87.9371,89.9462
2015-08-01,85.0889,87.0981,89.1072
2015-09-01,83.5315,85.5521,87.5727
2015-10-01,81.7379,83.7581,85.7783
2015-11-01,78.4683,80.4882,82.5081
2015-12-01,75.1776,77.198,79.2184
2016-01-01,75.4055,77.4259,79.4462
2016-02-01,78.3871,80.4096,82.4321
2016-03-01,83.1614,85.1842,87.207
2016-04-01,86.6375,88.6631,90.6887
2016-05-01,88.2567,90.286,92.3152
2016-06-01,87.476,89.5054,91.5349
2016-07-01,85.6028,87.6318,89.6608
2016-08-01,85.0255,87.0559,89.0863
2016-09-01,83.8952,85.9261,87.957
2016-10-01,81.6741,83.7054,85.7367
2016-11-01,78.1231,80.1579,82.1927
2016-12-01,75.5439,77.5825,79.621
2017-01-01,75.3531,77.3925,79.4318
2017-02-01,77.9604,79.9998,82.0391
2017-03-01,83.1377,85.177,87.2164
2017-04-01,86.9442,88.9839,91.0236
2017-05-01,88.1691,90.2094,92.2498
2017-06-01,87.2018,89.2422,91.2826
2017-07-01,85.9779,88.0202,90.0625
2017-08-01,85.0159,87.0588,89.1016
2017-09-01,83.5936,85.6406,87.6877
2017-10-01,81.8114,83.8598,85.9083
2017-11-01,78.3979,80.4458,82.4938
2017-12-01,75.3564,77.405,79.4535
2018-01-01,75.0223,77.0708,79.1194
2018-02-01,78.2125,80.2638,82.3152
2018-03-01,83.0554,85.1067,87.1581
2018-04-01,86.6662,88.7179,90.7696
2018-05-01,88.3646,90.4168,92.469
2018-06-01,87.4252,89.4785,91.5318
2018-07-01,85.7906,87.8437,89.8967
2018-08-01,84.8179,86.8734,88.9289
2018-09-01,83.9392,85.9949,88.0507
2018-10-01,81.8073,83.8646,85.9219
2018-11-01,78.1669,80.225,82.2832
2018-12-01,75.5093,77.5684,79.6275
2019-01-01,75.0734,77.134,79.1947
2019-02-01,77.9126,79.9735,82.0345
2019-03-01,82.8781,84.9395,87.0009
2019-04-01,86.9826,89.0448,91.107
2019-05-01,88.3426,90.405,92.4674
2019-06-01,87.2217,89.2838,91.3459
2019-07-01,85.9834,88.0458,90.1081
2019-08-01,84.9036,86.9661,89.0287
2019-09-01,83.7545,85.8197,87.8848
2019-10-01,81.7877,83.8564,85.9251
2019-11-01,78.4737,80.542,82.6102
2019-12-01,75.3911,77.4596,79.5281
2020-01-01,74.7738,76.8424,78.911
2020-02-01,78.0125,80.0824,82.1523
2020-03-01,82.8834,84.9533,87.0232
2020-04-01,86.8067,88.8766,90.9466
2020-05-01,88.3821,90.4521,92.522
2020-06-01,87.4915,89.5633,91.6352
2020-07-01,85.8649,87.9365,90.0081
2020-08-01,84.7054,86.7784,88.8514
2020-09-01,83.9783,86.0522,88.1261
2020-10-01,81.87,83.9453,86.0206
2020-11-01,78.3314,80.4069,82.4823
2020-12-01,75.3938,77.4693,79.5449
2021-01-01,74.8783,76.9564,79.0345
2021-02-01,77.776,79.8543,81.9326
2021-03-01,82.679,84.7576,86.8361
2021-04-01,87.0335,89.1124,91.1912
2021-05-01,88.4432,90.5223,92.6014
2021-06-01,87.3578,89.4369,91.516
2021-07-01,85.9134,87.9921,90.0709
2021-08-01,84.8485,86.9272,89.0059
2021-09-01,83.8555,85.9369,88.0182
2021-10-01,81.8087,83.8935,85.9783
2021-11-01,78.5785,80.6628,82.7471
2021-12-01,75.3544,77.439,79.5236
2022-01-01,74.6274,76.7125,78.7977
2022-02-01,77.7401,79.8256,81.9112
2022-03-01,82.745,84.8308,86.9165
2022-04-01,86.9149,89.0007,91.0864
2022-05-01,88.428,90.5138,92.5995
2022-06-01,87.5905,89.6779,91.7652
2022-07-01,85.8668,87.9539,90.0411
2022-08-01,84.6803,86.7681,88.8559
2022-09-01,83.9576,86.0474,88.1372
2022-10-01,81.9579,84.0487,86.1395
2022-11-01,78.4913,80.5821,82.6729
2022-12-01,75.2936,77.3844,79.4752
2023-01-01,74.7109,76.8042,78.8975
2023-02-01,77.5657,79.6594,81.753
2023-03-01,82.5528,84.6465,86.7401
2023-04-01,87.0381,89.1318,91.2254
2023-05-01,88.5594,90.6535,92.7476
2023-06-01,87.5041,89.5984,91.6927
2023-07-01,85.8433,87.9371,90.031
2023-08-01,84.8146,86.9083,89.002
2023-09-01,83.8928,85.9892,88.0857
2023-10-01,81.8994,83.9987,86.098
2023-11-01,78.6549,80.7538,82.8527
2023-12-01,75.3246,77.424,79.5235
2024-01-01,74.4959,76.5961,78.6964
2024-02-01,77.4515,79.5519,81.6524
2024-03-01,82.6219,84.7225,86.8232
